quad,row,col,trap_energy,gmean_coeff,log_coeff_slope_per_K,n_points
0,256,1029,0.30444549,0.84005787,-0.01082539,7
0,258,1208,0.25726231,0.83326827,0.048764914,4
0,258,1333,0.28451671,1.0963359,0.009576397,7
0,258,1334,0.30610269,0.69489597,-0.013031599,19
0,259,1333,0.29240994,0.5166892,0.0056083692,5
0,259,825,0.29862488,1.0233601,-0.0051431093,11
0,25,1086,0.28549143,0.95319507,0.0018207952,6
0,25,1834,0.22601732,0.8468823,0.022603788,7
0,25,2525,0.28492547,0.79637072,-0.0084390641,12
0,25,2629,0.24353978,0.8525286,0.0041120186,7
0,260,825,0.29698342,0.55021529,0.0045024877,10
0,262,1112,0.31232023,0.55476911,-0.0084867817,16
0,262,468,0.2330422,0.8415037,0.043314852,4
0,264,2802,0.17253159,1.1448424,0.02425597,4
0,265,2043,0.32866126,0.88151408,-0.011507244,4
0,265,83,0.23348471,0.53862219,0.0072652802,6
0,266,689,0.2919484,0.46632525,0.017459835,4
0,267,1142,0.29564898,0.40430122,-0.011300028,16
0,267,1732,0.35623757,1.0584622,-0.0079769098,6
0,267,2849,0.27042563,1.0477418,-0.0016022518,6
0,267,2920,0.54111598,0.32360055,0.021953647,5
0,268,1732,0.36054199,0.51934665,0.02597054,4
0,268,2849,0.23574885,0.56743786,0.032055402,5
0,268,3067,0.30450771,0.96048469,-0.013878562,7
0,269,1038,0.28532767,0.97876489,-0.014499168,6
0,269,1149,0.20309306,0.50420482,0.030416646,6
0,273,1584,0.29620673,0.35694742,-0.0098325294,19
0,273,2048,0.28057197,0.99446574,-0.0054282316,6
0,274,2370,0.24680868,0.71086589,-0.015322715,4
0,275,2345,0.19569527,0.71729895,0.043269714,5
0,277,2423,0.21038664,0.79435519,0.031447884,5
0,278,1749,0.29758268,1.040154,-0.019671892,5
0,278,1941,0.2835507,0.5922103,-0.013075659,19
0,279,2726,0.22117729,0.80550233,0.032003135,5
0,27,2336,0.26198493,0.62136803,-0.02542849,4
0,280,1885,0.30704833,0.5802224,-0.009308624,9
0,280,2726,0.29064977,0.50671445,0.029747118,4
0,281,2110,0.19016567,0.57633903,0.020199,5
0,281,2679,0.13357192,1.2606235,0.03358754,4
0,282,883,0.18287658,1.1419147,0.01603827,5
0,283,1789,0.24604485,0.72238408,0.0085765436,8
0,284,1027,0.28146821,0.82682622,0.011211989,8
0,284,1237,0.30036209,0.97822806,-0.0095518207,5
0,285,1479,0.27179872,0.63774379,-0.0036453862,5
0,285,2474,0.26396445,0.62505364,0.0054996918,6
0,287,1980,0.26814286,0.95884854,0.026955993,8
0,287,2309,0.14862154,0.72717602,0.045778056,5
0,288,1191,0.078790139,0.60280366,0.062430155,5
0,288,1310,0.25433523,0.85832276,0.020325537,4
0,288,1980,0.30689303,0.52967925,-0.0024971289,6
0,28,1104,0.44847151,1.1156018,-0.005717541,6
0,28,1485,0.28367043,0.81988754,-0.013802816,13
0,290,1078,0.30394709,1.070506,-0.02469679,6
0,291,2373,0.21506505,0.81838725,0.0071033868,4
0,293,2284,0.23152659,0.80938204,0.041220777,5
0,295,1921,0.29842481,0.77537728,-0.013001886,19
0,295,2075,0.24186753,0.69772865,-0.0073485519,5
0,295,2847,0.27088814,1.1222428,0.0079707408,6
0,296,2847,0.2170418,0.60676511,0.023127736,6
0,296,940,0.27250417,0.81013051,0.00042257091,9
0,297,1840,0.2481269,0.53539557,0.00091137093,10
0,298,2639,0.21363106,1.1932034,0.013977508,5
0,299,1004,0.28587704,1.0954757,0.0063247641,6
0,29,1148,0.24895379,0.84427724,0.011177395,7
0,2,48,0.079668775,1.0526584,0.0047946475,4
0,300,1004,0.29538223,0.53401128,0.00078980862,7
0,301,2286,0.22616672,0.7176157,0.0061727716,4
